"Reference","Study_common_taxon","Site_name","Sampling_effort","Longitude","Latitude","Species","Measurement","Effort_corrected_measurement"
"Armbrecht et al. 2006","Formicidae","FOR_Monteverde",10,-75.91937,5.11568,"",0,0
"Armbrecht et al. 2006","Formicidae","FOR_Monteverde",10,-75.91937,5.11568,"",0,0
"Armbrecht et al. 2006","Formicidae","FOR_Monteverde",10,-75.91937,5.11568,"",0,0
"Armbrecht et al. 2006","Formicidae","FOR_Monteverde",10,-75.91937,5.11568,"",0,0
"Armbrecht et al. 2006","Formicidae","FOR_PlayaBonita",10,-75.93722,5.12382,"",0,0
"Armbrecht et al. 2006","Formicidae","FOR_PlayaBonita",10,-75.93722,5.12382,"",0,0
"Armbrecht et al. 2006","Formicidae","FOR_PlayaBonita",10,-75.93722,5.12382,"",0,0
"Armbrecht et al. 2006","Formicidae","FOR_PlayaBonita",10,-75.93722,5.12382,"",0,0
"Armbrecht et al. 2006","Formicidae","FOR_ElPorvenir",10,-75.931757,5.12583,"",1,1
"Armbrecht et al. 2006","Formicidae","FOR_ElPorvenir",10,-75.931757,5.12583,"",1,1
"Armbrecht et al. 2006","Formicidae","FOR_ElPorvenir",10,-75.931757,5.12583,"",1,1
"Armbrecht et al. 2006","Formicidae","FOR_ElPorvenir",10,-75.931757,5.12583,"",0,0
"Armbrecht et al. 2006","Formicidae","Sun_LaFelisa",10,-75.953728,5.12433,"",0,0
"Armbrecht et al. 2006","Formicidae","Sun_LaFelisa",10,-75.953728,5.12433,"",0,0
"Armbrecht et al. 2006","Formicidae","Sun_LaFelisa",10,-75.953728,5.12433,"",0,0
"Armbrecht et al. 2006","Formicidae","Sun_LaFelisa",10,-75.953728,5.12433,"",0,0
"Armbrecht et al. 2006","Formicidae","Sun_LaEstrella",10,-75.960316,5.13453,"",0,0
"Armbrecht et al. 2006","Formicidae","Sun_LaEstrella",10,-75.960316,5.13453,"",0,0
"Armbrecht et al. 2006","Formicidae","Sun_LaEstrella",10,-75.960316,5.13453,"",1,1
"Armbrecht et al. 2006","Formicidae","Sun_LaEstrella",10,-75.960316,5.13453,"",1,1
"Armbrecht et al. 2006","Formicidae","Sun_LaMaria",10,-75.947015,5.11915,"",0,0
"Armbrecht et al. 2006","Formicidae","Sun_LaMaria",10,-75.947015,5.11915,"",1,1
"Armbrecht et al. 2006","Formicidae","Sun_LaMaria",10,-75.947015,5.11915,"",0,0
"Armbrecht et al. 2006","Formicidae","Sun_LaMaria",10,-75.947015,5.11915,"",0,0
"Armbrecht et al. 2006","Formicidae","MS_Monteverde",10,-75.92535,5.11813,"",0,0
